chromosome name,count
ERCC-00035,0
ERCC-00096,0
ERCC-00160,0
ERCC-00099,0
ERCC-00042,0
ERCC-00051,0
ERCC-00092,0
ERCC-00048,0
ERCC-00061,0
ERCC-00039,0
ERCC-00016,0
ERCC-00078,0
ERCC-00004,0
ERCC-00117,0
ERCC-00109,0
ERCC-00164,0
ERCC-00120,0
ERCC-00085,0
ERCC-00116,0
ERCC-00057,0
ERCC-00108,0
ERCC-00131,0
ERCC-00097,0
ERCC-00134,0
ERCC-00033,0
ERCC-00147,0
ERCC-00144,0
ERCC-00084,0
ERCC-00022,0
ERCC-00083,0
ERCC-00024,0
ERCC-00077,0
ERCC-00002,0
ERCC-00145,0
ERCC-00081,0
ERCC-00071,0
ERCC-00060,0
ERCC-00058,0
ERCC-00059,0
ERCC-00098,0
ERCC-00126,0
ERCC-00017,0
ERCC-00157,0
ERCC-00095,0
ERCC-00069,0
ERCC-00013,0
ERCC-00053,0
ERCC-00043,0
ERCC-00054,0
ERCC-00009,0
ERCC-00086,0
ERCC-00012,0
ERCC-00154,0
ERCC-00150,0
ERCC-00165,0
ERCC-00019,0
ERCC-00031,0
ERCC-00171,0
ERCC-00148,0
KI270740.1,0
KI270522.1,0
KI270317.1,45
ERCC-00028,0
GL000225.1,12
ERCC-00075,0
KI270718.1,41
ERCC-00003,0
11,16198090
GL000205.2,1869
KI270589.1,3
KI270709.1,4
ERCC-00136,0
KI270320.1,0
KI270302.1,0
ERCC-00112,0
KI270713.1,256
KI270512.1,3
KI270435.1,2
KI270748.1,2
KI270312.1,2
KI270737.1,6
KI270745.1,37
KI270387.1,0
KI270756.1,1
KI270753.1,0
KI270382.1,0
ERCC-00158,0
KI270716.1,11
KI270733.1,2389
KI270315.1,0
KI270338.1,0
ERCC-00073,0
GL000214.1,17
KI270749.1,7
ERCC-00014,0
KI270738.1,0
ERCC-00067,0
2,10705133
KI270720.1,45
KI270389.1,0
ERCC-00044,0
KI270754.1,1
KI270750.1,12
KI270725.1,7
KI270729.1,19
ERCC-00104,0
KI270706.1,617
Y,216110
KI270530.1,0
KI270719.1,190
7,5490111
6,8711073
KI270418.1,0
KI270519.1,3
8,4329031
KI270751.1,27
GL000008.2,112
21,880578
ERCC-00138,0
KI270724.1,9
KI270316.1,0
ERCC-00137,0
MT,3786731
17,7392932
ERCC-00170,0
KI270379.1,0
KI270518.1,0
KI270746.1,25
KI270529.1,0
3,7493923
KI270538.1,0
16,4870831
1,10835136
KI270422.1,0
KI270371.1,0
5,7054143
ERCC-00079,0
GL000218.1,185
KI270468.1,0
ERCC-00162,0
KI270591.1,0
KI270393.1,0
14,5684397
ERCC-00034,0
KI270544.1,1
KI270742.1,143
ERCC-00041,0
KI270336.1,0
22,3162651
19,10181721
KI270390.1,0
KI270708.1,14
X,5509308
KI270739.1,2
4,3852072
ERCC-00025,0
KI270438.1,4
KI270757.1,3
KI270743.1,33
KI270731.1,27
ERCC-00168,0
KI270582.1,0
KI270735.1,2
GL000213.1,13
GL000208.1,7
KI270425.1,0
KI270363.1,1
15,5546073
GL000216.2,17
9,4425607
GL000221.1,102
20,2623664
KI270374.1,0
KI270744.1,256
KI270394.1,0
ERCC-00046,0
KI270714.1,15
KI270728.1,403
KI270593.1,0
KI270726.1,253
KI270727.1,458
ERCC-00123,0
KI270583.1,2
GL000219.1,3715
KI270362.1,0
KI270730.1,3
12,6473543
KI270442.1,258
KI270747.1,1
KI270584.1,0
ERCC-00062,0
KI270384.1,0
KI270722.1,49
GL000009.2,98
KI270322.1,0
KI270711.1,286
GL000195.1,407
ERCC-00040,0
KI270741.1,71
KI270732.1,6
KI270465.1,1
KI270736.1,8
KI270330.1,7
13,2320630
KI270723.1,6
GL000194.1,1039
KI270712.1,21
KI270579.1,0
KI270755.1,13
KI270752.1,0
ERCC-00076,0
ERCC-00130,0
KI270721.1,500
GL000226.1,0
KI270580.1,0
KI270311.1,0
ERCC-00143,0
KI270366.1,0
KI270715.1,0
KI270448.1,0
ERCC-00074,0
KI270528.1,0
KI270521.1,0
KI270581.1,2
KI270588.1,0
KI270515.1,0
KI270467.1,0
KI270517.1,0
GL000224.1,103
KI270364.1,1
KI270707.1,7
KI270333.1,0
KI270411.1,1
KI270466.1,0
KI270395.1,0
KI270414.1,0
KI270305.1,0
KI270510.1,0
KI270391.1,0
KI270375.1,0
KI270335.1,0
KI270420.1,0
KI270337.1,0
KI270509.1,0
KI270329.1,0
KI270383.1,0
GL000220.1,529
KI270587.1,0
KI270304.1,97
KI270424.1,0
KI270717.1,8
KI270417.1,0
KI270508.1,0
KI270710.1,0
KI270381.1,0
18,1660891
KI270734.1,174
KI270396.1,0
ERCC-00156,0
KI270386.1,0
ERCC-00111,0
KI270419.1,0
KI270372.1,0
KI270548.1,0
KI270373.1,0
KI270340.1,0
KI270334.1,0
KI270378.1,0
KI270429.1,0
KI270310.1,125
KI270516.1,0
KI270388.1,0
KI270385.1,0
KI270412.1,0
ERCC-00163,0
KI270376.1,0
KI270539.1,0
ERCC-00142,0
KI270303.1,82
KI270423.1,0
10,4103396
KI270511.1,0
KI270507.1,0
KI270392.1,0
KI270590.1,0
ERCC-00113,0
